formulas,bandgap
Cd3H2C1Se1O8,2.763
Cd1Hg1C4S4N4,2.4633
Cd1Hg1C4Se4N4,2.2448
K1Cd1C3N3O3,4.1312
Zn1Cd1C4S4N4,3.4136
Zn1Cd1C4Se4N4,3.0605
Na3Cd1P1C1O7,3.1961
K1Ce1P1C1O7,1.1828
K2Ce1P1C1O7,0.2603
Li1Ce1P1C1O7,1.2363
Co1H4C4N2Cl4,0.0703
Co1Si1C4Cl3O4,3.9118
Co2Sn1C8Cl2O8,2.5075
Cu1H8C2N1Cl3,0.2036
Cu1H8C2N1Cl3,0.3531
Cu1H5C5N1Cl1,1.7729
Cu1H8C1N5Cl3,0.2587
Cu1H4C3Cl1O2,2.5729
C3I1Cl1O2F6,3.0782
C2S1N1Cl2F5,3.4123
C1S1Cl1O3F3,4.6094
C3S2Cl1O2F3,3.6282
C2S1Cl1O4F3,5.0536
Fe3H6C6N6Cl8,1.3614
Ga2Rh1C4Cl7O4,2.0192
Ge1Os2C8Cl4O8,2.0246
Ge2Ru1C4Cl6O4,3.3452
Hg2H6C1N3Cl5,2.442
Hg2H2C2N1Cl5,0.5335
Hg1H4C4N2Cl4,2.4704
Hg1H2C6N2Cl4,0.0328
In1H8C8N4Cl7,2.0291
Mn1H8C2N1Cl3,1.6327
H6Pb1C1N1Cl3,2.8392
H6Pb1C1N1Cl3,2.7097
H8Pd1C2N1Cl3,1.4783
H4C1S1N2Cl1,3.6188
H5C1S1N2Cl1,4.3408
Sb1H6C1N3Cl6,1.5847
Zn1H8C4N8Cl2,4.4569
H2Pb4C1Cl6O4,3.55
H2Ru1C3Cl2O4,3.162
H3C1S1Cl1O1,2.3467
Hg1C1S1N1Cl1,2.4401
Na3Mg1C2Cl1O6,4.1751
Na3Mg1C2Cl1O6,3.8608
Mo1C3S2Cl7O1,1.9623
Rb1Ni1C2N2Cl1,0.9992
C1S2N1Cl1O2,2.7073
Sb1C1N1Cl4O1,2.1439
Pb1C1S1N1Cl1,3.1401
Sb1Ru2C6Cl7O6,2.4953
Cs2K1Co1C6N6,4.2271
Cs2Li1Co1C6N6,4.137
Cs2Na1Co1C6N6,4.2881
K1Co1H3C3O6,2.9743
Na1Co1H2C3O7,2.6027
Co2P1H2C1O7,2.6355
Co1H1Ru1C6O6,2.2321
Co1Hg1C4S4N4,0.7969
Co1Hg1C4Se4N4,0.7733
K2Co1P1C1O7,0.9361
K3Co1P1C1O7,2.5829
Rb2Li1Co1C6N6,4.2833
Li3Co1P1C1O7,2.7458
Li3Co1P1C1O7,2.9139
Li3Co1P1C1O7,2.3451
Li3Co1P1C1O7,2.297
Li3Co1P1C1O7,2.2665
Li3Co1P1C1O7,2.8344
Li3Co1P1C1O7,2.8354
Li3Co1P1C1O7,2.8741
Li3Co1P1C1O7,2.7656
Li3Co1P1C1O7,2.7427
Li1Co1C1S1O7,0.6872
Li2Co1C1S1O7,2.4992
Li3Co1Si1C1O7,1.1529
Rb2Na1Co1C6N6,4.3389
Na2Co1P1C1O7,0.8388
Na3Co1P1C1O7,2.8697
Na3Co1P1C1O7,2.8453
Na1Co1P1C1O7,0.2367
Na1Co1C1S1O7,0.4798
Na2Co1C1S1O7,2.2283
Na3Co1Si1C1O7,1.2908
Na2Co1Si1C1O7,0.1563
Cs2Li1Cr1C6N6,1.8904
Cs2Li1Cr1C6N6,1.7163
Cs2Li1Cr1C6N6,1.832
Cs1Mn1Cr1C6N6,0.1422
Cs2Na1Cr1C6N6,1.9659
Li1Cr1C1O3F2,2.7663
Sr2Cr1C1O3F5,3.3819
Cr1H8C4S4N6,1.1525
K3Cr1C3N3O4,2.0845
K2Cr1P1C1O7,2.4556
K3Cr1P1C1O7,2.6393
Li2Cr1P1C1O7,2.8953
Li3Cr1P1C1O7,2.8924
Li3Cr1P1C1O7,2.4992
Li3Cr1P1C1O7,2.6531
Li3Cr1P1C1O7,2.6734
Li3Cr1P1C1O7,2.7651
